project,commit_id,contains_bug,bug_probability,prediction,error_type,time_stamp,ns,nd,nf,entropy,la,ld,lt,is_fix,ndev,age,nuc,exp,rexp,sexp,htmlcss,strict,bdom,so,tc
three.js,3939371825a935c97eadfb0d3bbb80c96c4a362d,False,0.0009936418736791381,0,True Negative,1515172679,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11499,3727.92,0.0,0.0,0.0,0.0,0.0,0.0
react,fe10b8d0cd43e4bad998884c9ca61022091f7633,True,0.29009953481643774,0,False Negative,1515172893,1,2,5,0.2948139999999999,1,187,272.2,0,19.0,18.76,11.4,994,575.2,101.0,0.0,0.0,4.0,0.0,0.0
react,ede0b87cd12ef61349da93380d0300d1af83996e,False,0.0053760387914398786,0,True Negative,1515173213,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0
react,c94b4b8b86c72a450c74ca763a509aefd481a2b4,True,0.7623809159729397,1,True Positive,1515174285,2,3,3,0.120191,72,78,233.33,1,3.0,1.89,3.0,140,94.79,38.5,0.0,0.0,0.0,0.0,0.0
material-ui,4495766c8a8f3b7edb71ddd278bb13926bfebe0e,False,0.29391610814800506,0,True Negative,1515174537,2,2,1,0.0,10,3,119.0,0,7.0,22.76,32.0,1662,965.57,444.5,0.0,0.0,0.0,0.0,0.0
material-ui,a851dfa1706b9a19165f08071e3150b7e1db250f,False,0.03238716983769071,0,True Negative,1515175338,2,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,4,3.24,3.0,0.0,0.0,0.0,0.0,0.0
react,588198d2665db9c45d22687bfaaa87121674d3a2,False,0.5853949778243451,1,False Positive,1515175678,1,2,4,0.939634,26,13,540.75,0,30.0,21.9,48.0,3,2.81,2.0,0.0,0.0,0.0,0.0,0.0
react,4e044f553f0704c0603f857165ea2acbb0940b2b,False,0.6029524863252052,1,False Positive,1515175812,1,1,2,0.337292,8,6,703.0,0,30.0,35.45,81.5,18,10.34,2.0,0.0,0.0,0.0,0.0,0.0
react,e74f3ce5657213d08b7a4e976fe631c645acfb1c,False,0.838244149374046,1,False Positive,1515176056,1,2,2,0.0700276,38,0,1811.5,0,59.0,0.97,156.5,2,0.76,0.0,0.0,0.0,4.0,0.0,0.0
react,ce40f4eafe32236b8968a2d7793582e47877a38c,False,0.37269428183458325,0,True Negative,1515177163,1,1,1,0.0,7,1,134.0,1,7.0,41.7,22.0,1,0.9,1.0,0.0,0.0,0.0,0.0,0.0
react,1c7c38c82af1c4d9985c3dd1e2b1a4d996bd6f66,False,0.13085793353094857,0,True Negative,1515177343,1,1,1,0.0,1,8,94.0,0,10.0,59.02,31.0,19,11.34,3.0,0.0,0.0,0.0,0.0,0.0
react,808f31af5cc571880058281c3ba1e1c69ce8aa5c,True,0.7928257732796676,1,True Positive,1515177433,1,6,9,0.465365,42,86,342.56,0,56.0,35.08,40.33,995,576.15,102.0,0.0,0.0,0.0,1.0,0.0
react,39be83565c65f9c522150e52375167568a2a1459,False,0.5844070862351326,1,False Positive,1515177884,1,2,2,0.194885,14,1,621.5,0,12.0,18.82,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
react,9d310e0bc7b9d5ce39d82536dfcb67f98462a346,True,0.619271632451622,1,True Positive,1515178197,1,2,2,0.96959,41,6,628.0,0,13.0,0.0,14.5,59,27.98,2.0,0.0,0.0,0.0,0.0,0.0
react,96d7e53e693d5676cb379876c2b1370596899f86,True,0.8111828444347755,1,True Positive,1515178262,1,1,1,0.0,34,39,1371.0,0,28.0,0.03,150.0,0,0.0,0.0,0.0,0.0,2.0,8.0,0.0
react,48833f698dc28a9af09819ba731a2e94d5bf9da7,False,0.0013937446554067197,0,True Negative,1515178753,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,996,577.14,201.0,0.0,0.0,0.0,0.0,0.0
three.js,d1ce80c9f83c5232156cfe4cdfcb240e2bf90297,True,0.6197128699958886,1,True Positive,1515180033,4,4,4,0.1285329999999999,237,1,12266.2,0,46.0,14.72,855.25,625,383.17,174.0,0.0,0.0,0.0,0.0,0.0
serverless,7f18dda085ddc2c38fbabb3618e0b158503088b9,False,0.3658332161126963,0,True Negative,1515180278,1,1,2,0.87387,10,1,285.0,0,3.0,155.65,26.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
three.js,7376beb63a46bd2d068626a646a8a7e12ed14a04,False,0.42811102075607926,1,False Positive,1515180888,1,1,2,0.141182,6,4,302.0,0,13.0,5.22,67.5,626,384.17,326.0,0.0,0.0,0.0,0.0,0.0
material-ui,1a19bb7bffca4f10dd7e2dc60b6184c5414d944f,False,0.22175679641251064,0,True Negative,1515180959,1,1,1,0.0,1,3,139.0,0,7.0,1.3,28.0,2,1.86,2.0,0.0,0.0,0.0,0.0,0.0
webpack,9f13bfec6c52bef4f237a2e58ed9087aaf0207e5,False,0.37476877961280747,0,True Negative,1515182460,1,1,1,0.0,12,21,107.0,0,2.0,22.98,31.0,30,28.85,22.0,0.0,0.0,0.0,1.0,0.0
three.js,b9ea7e900b1f861f47dd62ffacf330414c594f1b,False,0.24469554477908306,0,True Negative,1515183217,1,1,1,0.0,6,2,210.0,0,1.0,0.03,2.0,627,385.15,327.0,0.0,0.0,0.0,0.0,0.0
three.js,fb9d707536e4eb7c4b6b6da52562d22a4945eb26,False,0.21765701720658803,0,True Negative,1515183593,2,2,2,0.768606,8,21,23119.5,0,10.0,0.02,908.0,628,386.14,164.5,0.0,0.0,0.0,0.0,0.0
three.js,62dc2767ae79c66d694e0d9f6c61e12f8f181d1d,False,0.28345924496761205,0,True Negative,1515183700,1,1,1,0.0,9,9,213.0,0,1.0,0.0,4.0,629,387.14,329.0,0.0,0.0,0.0,0.0,0.0
webpack,bde926605cb19eae22f119a01263865a25b6aa08,False,0.6769873558998684,1,False Positive,1515184536,2,4,3,0.0306332,58,22,310.0,1,1.0,4.71,21.67,3507,1564.96,1013.0,0.0,0.0,0.0,12.0,0.0
material-ui,2ae2e77bd5ebe680ba8be2332327889b1999a59a,False,0.2734215917277152,0,True Negative,1515186686,1,1,1,0.0,4,3,229.0,0,5.0,4.43,54.0,443,195.96,173.0,0.0,0.0,0.0,0.0,0.0
material-ui,db7ca0d707af74a3f211e30a1136e59af466a179,True,0.1952539661066195,0,False Negative,1515186814,1,5,1,0.0,1,1,17.0,1,3.0,28.99,9.0,444,196.95,174.0,0.0,0.0,0.0,0.0,0.0
material-ui,2d4328ef925c3e42c85251629301a7dee86333d1,False,0.0016899829834423434,0,True Negative,1515186855,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,445,197.95,7.0,0.0,0.0,0.0,0.0,0.0
material-ui,986b0c08282247df8046c42e865e61282a997e56,False,0.3953582547365749,0,True Negative,1515187290,1,2,4,0.755685,5,6,190.5,1,9.0,4.95,33.5,1663,966.32,652.0,0.0,0.0,0.0,2.0,0.0
webpack,87fdb61c0aafef04ad89bb314fa80ceadf1421b1,False,0.29193273776061623,0,True Negative,1515188154,1,1,1,0.0,17,17,964.0,0,1.0,0.04,66.0,3508,1565.86,1246.0,0.0,0.0,0.0,0.0,0.0
three.js,86d299d368eb75cf37abcc911e2d2ad04ac2dca8,True,0.5373201372131561,1,True Positive,1515188383,2,2,2,0.0140953,347,0,1282.5,0,39.0,8.38,800.5,2,0.8,1.0,0.0,0.0,0.0,0.0,0.0
three.js,11a117aad4f4f3479d25f7b4e5a4b972c17d7834,False,0.4603132515726369,1,False Positive,1515189067,1,2,3,0.655459,6,4,887.67,0,40.0,168.49,550.33,630,388.1,240.0,0.0,0.0,0.0,0.0,0.0
pdf.js,a3b2456c7a33811010961ee111c58554dbc74ffc,False,0.007533766765546514,0,True Negative,1515189306,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1101,464.73,0.0,0.0,0.0,0.0,0.0,0.0
vue,05299610ea3e89ddbcfe4d8ede0c298223766423,False,0.4975204432504738,1,False Positive,1515192284,2,2,2,0.805983,5,2,206.5,1,12.0,16.63,43.5,20,12.22,15.5,0.0,0.0,0.0,1.0,0.0
vue,5191f13472d1fc37bdd601079970201fde6bf13e,False,0.5825138547888238,1,False Positive,1515192359,2,2,2,0.707544,60,12,733.0,1,6.0,50.32,60.5,2,1.45,2.0,0.0,0.0,0.0,0.0,0.0
three.js,5ea3a703f7bf78e010e1b3887bd023271597659b,True,0.5127035129878663,1,True Positive,1515193168,1,2,3,0.12912,188,68,193.33,0,14.0,28.1,54.0,11500,3727.85,2551.0,0.0,0.0,0.0,0.0,0.0
material-ui,4d84c86819255bf465f1810931f69c4452210c0e,False,0.36413427654789104,0,True Negative,1515193262,1,1,2,0.688573,9,12,46.0,0,4.0,20.93,4.0,446,198.93,175.0,0.0,0.0,0.0,0.0,0.0
three.js,88ab0a786b81cbb592df08589e039d785b359c55,False,0.0009936418736791381,0,True Negative,1515196133,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11501,3728.69,0.0,0.0,0.0,0.0,0.0,0.0
webpack,3a89252c62eb121f49520ae0a86ba4d5b76ac93e,True,0.5154062512893349,1,True Positive,1515205120,2,3,3,0.124981,21,21,232.0,0,2.0,128.99,28.67,0,0.0,0.0,0.0,0.0,0.0,14.0,4.0
parcel,9770acfb7576572715dd672195180d5fec8156a9,True,0.6915185115266449,1,True Positive,1515208736,3,4,3,0.246871,41,1,24.67,0,6.0,0.53,4.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
parcel,0cdcb95cfba8c0dc1a5383edde845d28910b2644,True,0.7866207326344568,1,True Positive,1515208736,2,4,3,0.246871,41,1,24.67,0,6.0,0.53,4.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
three.js,f24993d27b3a21a7d1a691a897ab7289b62f7496,True,0.8635042250530145,1,True Positive,1515211609,3,7,16,0.389291,84,43,457.62,0,31.0,108.25,49.25,304,127.55,123.0,0.0,0.0,0.0,2.0,1.0
babel,bb17b72f4f70b817ef8de979b79cb4f13113ed53,False,0.24955928103922453,0,True Negative,1515213576,1,1,1,0.0,8,8,452.0,0,1.0,17.1,1.0,550,311.16,390.0,0.0,0.0,0.0,0.0,0.0
serverless,13bda4bf1e4771e6d52f1d07bb3ed0645f32c93c,False,0.009131372051461736,0,True Negative,1515220920,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,223,160.5,0.0,0.0,0.0,0.0,0.0,0.0
webpack,90068d867bc1f0ce342fca7d1825ec6f7fa555fa,False,0.20943613693552662,0,True Negative,1515228218,1,1,1,0.0,2,2,39.0,1,1.0,1.5,6.0,3509,1565.71,217.0,0.0,0.0,0.0,0.0,0.0
webpack,0d987631bd8d5140a1d813f64dd29fb41fdd3403,False,0.0028395819098923102,0,True Negative,1515228257,1,7,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3510,1566.7,218.0,0.0,0.0,0.0,0.0,0.0
webpack,2fab927306b7b0a2e70d012699d14a4f5634b764,False,0.00674329636791674,0,True Negative,1515231434,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3511,1567.61,0.0,0.0,0.0,0.0,0.0,0.0
webpack,2cbd4685d30e0f54d5c2523946c530d82ac3c793,False,0.00674329636791674,0,True Negative,1515231450,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3512,1568.61,0.0,0.0,0.0,0.0,0.0,0.0
webpack,91c3cfd48fb5fa5405220d3278adcc51e3906145,False,0.00674329636791674,0,True Negative,1515231469,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3513,1569.61,0.0,0.0,0.0,0.0,0.0,0.0
webpack,61ab19c821be466841519fbf6806ce22b7e2cb17,False,0.0028395819098923102,0,True Negative,1515231963,1,11,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3514,1570.6,219.0,0.0,0.0,0.0,0.0,0.0
webpack,37cc6f4f6ec178d0406dcf816de690cab9b1bf8f,False,0.0007152387206180393,0,True Negative,1515232000,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,3515,1571.6,826.0,0.0,0.0,0.0,0.0,0.0
three.js,f9dfb6523eb74778b9f4896758973a14c7064529,False,0.0009606440285256258,0,True Negative,1515234309,1,1,1,0.0,0,1,213.0,0,1.0,0.59,5.0,631,388.72,330.0,0.0,0.0,0.0,0.0,0.0
pdf.js,0e1b5589e7a54f979e5e572024b71222c9444ebc,True,0.819558171479506,1,True Positive,1515240658,4,7,16,0.6221270000000001,73,28,581.88,0,10.0,61.86,38.31,1535,636.86,240.5,0.0,0.0,0.0,5.0,3.0
material-ui,a55b6948d71ad9c3ac3815f2b023480e9c2ed22c,False,0.0008340051207130449,0,True Negative,1515242364,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1664,966.24,542.0,0.0,0.0,0.0,0.0,0.0
material-ui,f590ce9811e753052aa439a50b33f4ea52af9a51,False,0.0008340051207130449,0,True Negative,1515242473,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1665,967.23,543.0,0.0,0.0,0.0,0.0,0.0
material-ui,758dd9a1b1060c6a8f7f21bbbcd807c79e3fe14f,False,0.0008340051207130449,0,True Negative,1515247635,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1666,968.13,544.0,0.0,0.0,0.0,0.0,0.0
vue,a6a9d6d05ac7cb4fa62a3ecc6725fadfb0eebd3e,False,0.2051950619063963,0,True Negative,1515251327,3,3,2,0.734496,18,12,6.0,0,3.0,1.97,2.0,4554,1689.38,296.6670000000001,0.0,0.0,0.0,0.0,0.0
vue,782b66c790cee4a4998f48704bd0b8f643a43aca,False,0.0005482341400883195,0,True Negative,1515251430,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,4555,1690.38,874.0,0.0,0.0,0.0,0.0,0.0
material-ui,a2af129cc700b2c56a5ce00ee6cd08631080dd54,False,0.0008340051207130449,0,True Negative,1515252143,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1667,969.04,545.0,0.0,0.0,0.0,0.0,0.0
material-ui,fcfe4a64a95f65e205c5ba9523987982e6556eea,False,0.0008340051207130449,0,True Negative,1515252348,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1668,970.04,546.0,0.0,0.0,0.0,0.0,0.0
babel,b93184e430c5785dad197f53f73904a2a06fc1ed,True,0.7988359689719773,1,True Positive,1515253108,1,5,7,0.3356909999999999,71,33,39.43,0,7.0,3.11,2.71,46,36.48,26.0,0.0,0.0,0.0,3.0,0.0
material-ui,74e6a047cae417797f5fa0f576dfb1123ec9a109,False,0.0014746311162999134,0,True Negative,1515253345,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,447,199.74,42.0,0.0,0.0,0.0,0.0,0.0
material-ui,4b3c7d53c47b5f2ca3770e949479f43ab4ad75dc,True,0.4896324968398333,1,True Positive,1515253567,1,1,1,0.0,35,16,39.0,0,4.0,4.21,11.0,448,200.74,176.0,0.0,0.0,2.0,2.0,0.0
material-ui,d0d9fd07db193ce3c045b153a5383c16b2f3e564,True,0.6739118338900449,1,True Positive,1515253597,2,2,2,0.743934,46,6,137.0,0,9.0,10.1,29.5,3,2.8,2.0,0.0,0.0,0.0,0.0,0.0
parcel,fb3f9d7a5e120766dd3656ce00b4bb07e76d6af1,True,0.851134391848181,1,True Positive,1515254270,2,4,4,0.47895,79,19,207.0,0,15.0,5.03,21.5,35,33.39,10.5,0.0,0.0,0.0,4.0,0.0
parcel,92fd19f734c76ad03cf9d1c4d0cef35fada55788,True,0.851134391848181,1,True Positive,1515254270,1,4,4,0.47895,79,19,207.0,0,15.0,5.03,21.5,34,32.39,15.0,0.0,0.0,0.0,4.0,0.0
material-ui,c3948a85075d996607bcfaf45b237535b8a1c6b7,False,0.3857866169814581,0,True Negative,1515254521,1,3,1,0.0,7,3,46.0,1,1.0,5.02,1.0,8,7.05,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,b6a1307cf5f4ca2d98a3e72fca8f110827b7ccb0,False,0.0014735846028969429,0,True Negative,1515256843,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,449,201.73,8.0,0.0,0.0,0.0,0.0,0.0
webpack,5a1ffb53dc181fe8b7745e35b7777c4bd55a77d9,False,0.5719619802370666,1,False Positive,1515257060,2,2,1,0.0,22,17,1887.0,0,4.0,-4.15,136.0,31,29.78,12.5,0.0,0.0,0.0,2.0,0.0
parcel,0f20aea56ff1c24bc3a1b02bf2e6ba3f60f7a039,False,0.22379143965211118,0,True Negative,1515260211,1,1,1,0.0,1,0,44.0,1,3.0,6.07,12.0,444,367.07,178.0,0.0,0.0,0.0,0.0,0.0
parcel,1a853bed3ece6744daba8a0a833ef18ba0c67e3b,False,0.22379143965211118,0,True Negative,1515260211,1,1,1,0.0,1,0,44.0,1,3.0,6.07,12.0,445,368.07,142.0,0.0,0.0,0.0,0.0,0.0
three.js,6b7ee3e49314408cb0cd9e9560bb3a41825e407e,False,0.10782868863945688,0,True Negative,1515261041,1,3,3,0.498859,13,29,1145.67,0,39.0,13.47,543.33,11502,3726.29,3155.0,0.0,0.0,0.0,1.0,0.0
three.js,7fedf926702b6bada17c83b5ef063d23848f1ca4,False,0.008484259178373463,0,True Negative,1515261055,1,1,3,0.0886612,740,769,30845.0,0,20.0,2.84,1076.67,11503,3727.29,2314.0,4.0,0.0,34.0,2529.0,66.0
Chart.js,33c7d941f7caa5363f68ac2135a66d7c2328e196,True,0.8697819547584423,1,True Positive,1515261587,2,4,5,0.202675,119,144,160.6,0,16.0,80.53,18.2,33,23.46,11.0,0.0,0.0,0.0,10.0,5.0
three.js,325d819011ca058b315d34f22012307be5edda75,False,0.0009936418736791381,0,True Negative,1515261842,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11504,3728.25,0.0,0.0,0.0,0.0,0.0,0.0
three.js,e371d6e7892b74f15d86be850658f8544d5bea7b,False,0.003817547276496939,0,True Negative,1515261918,1,1,3,0.0231583,214,205,30835.3,0,20.0,0.01,1077.0,11505,3729.24,2315.0,0.0,0.0,4.0,683.0,24.0
three.js,8cd7106a355856f82a12ed94524a61d878a741b1,False,0.06525971715571238,0,True Negative,1515262028,1,1,1,0.0,2,1,396.0,0,12.0,0.8,135.0,11506,3730.24,2552.0,0.0,0.0,0.0,0.0,0.0
material-ui,f510ba33efa81217c81c9ec8b493296a91157809,False,0.005006043242231367,0,True Negative,1515262082,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,2,1.44,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,b22e212a6460c9871a198644c4eba6e8de6e7be6,False,0.413970292287964,1,False Positive,1515262176,2,4,3,0.705321,8,10,139.0,0,14.0,3.38,24.33,1669,970.84,445.5,0.0,0.0,0.0,0.0,0.0
parcel,5c3ccb8fdd86149f4e271341170f8cf01672e4b7,True,0.7168554657682233,1,True Positive,1515263452,1,2,2,0.226044,75,4,4.0,1,1.0,7.29,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parcel,a852dd2cd0dc856121ebc2e6cbc2589525a3d435,True,0.7364488256471876,1,True Positive,1515263452,2,2,2,0.226044,75,4,4.0,1,1.0,7.29,0.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,25ec8273cb71a40253809894e323f48f9213b485,True,0.5514640066091807,1,True Positive,1515264383,2,2,2,0.7868569999999999,17,2,392.5,0,9.0,14.32,15.0,1670,971.8,446.5,0.0,0.0,0.0,1.0,0.0
parcel,c858843bb0e72c6ad46a2349b36843e00b86ea76,True,0.6767303381535508,1,True Positive,1515266080,2,3,2,0.368404,31,8,200.0,0,12.0,16.32,12.5,37,35.37,11.5,0.0,0.0,0.0,0.0,0.0
parcel,8dbe64ce290cb763d6ecf1c5ba17fd5b7b401255,True,0.6767303381535508,1,True Positive,1515266080,1,3,2,0.368404,31,8,200.0,0,12.0,16.32,12.5,36,34.37,16.0,0.0,0.0,0.0,0.0,0.0
material-ui,096fe198bfc39006cc923ab1835f07b6051e3618,False,0.21511491130792906,0,True Negative,1515266259,1,1,1,0.0,1,2,229.0,0,8.0,14.87,46.0,6,5.69,4.0,0.0,0.0,0.0,0.0,0.0
Chart.js,9ddb449ad1abae8dd95639a60311fb8bfc17e572,False,0.042298715817041956,0,True Negative,1515279553,2,2,0,0.0,0,0,0.0,1,0.0,0.0,0.0,157,82.12,57.0,0.0,0.0,0.0,0.0,0.0
axios,84a00b2227cbda8175afb9dbc5dac7eab47f691e,False,0.00745577670703806,0,True Negative,1515280437,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,163,82.99,0.0,0.0,0.0,0.0,0.0,0.0
axios,db44a8f316da7e1f058eaed3556e9a391a2ffd3e,False,0.00745577670703806,0,True Negative,1515280548,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,164,83.99,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,245d7a5fd0482ff3490b64d359caf48ec9d5a69f,False,0.001157432943999976,0,True Negative,1515284338,1,1,18,1.0,0,18,19.0,0,1.0,24.03,0.17,450,202.64,137.0,0.0,0.0,0.0,0.0,0.0
